headword_as_printed	expanded_form	inflection	pos	glosses	source_page	image_verified	scan_url
Անստգիւտ			a.	irreproachable, unblemished, pure, blameless; ad. irreproachably.	dict-082.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf39.jpg
Անստգիւտ			a.	irreproachably; irreproachable, unblemished, pure, blameless; ad. irreproachably.	dict-082.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf39.jpg
Անստեղծ, Անստեղծական			a.	uncreat[ed]; uncreated.	dict-082.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf39.jpg
Անստին			a.	without breast or udder; without milk; without milk.	dict-082.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf39.jpg
Անստոյգ			a.	uncertain; uncertain.	dict-082.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf39.jpg
Անստուգութիւն			s.	incertitude; incertitude.	dict-082.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf39.jpg
Անստուեր			a.	unshadowed, unclouded, clear, light; unshadowed, unclouded, clear, light.	dict-082.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf39.jpg
Անստուերագիծ, Անստուերագիր			a.	evident, manifest; indelible; indelible.	dict-082.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf39.jpg
Անստուերափայլ			a.	glittering, luminous, brilliant, bright; glittering, luminous, brilliant, bright.	dict-082.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf39.jpg
Անստութիւն			s.	veracity, without [falsehood]; veracity, without falsehood.	dict-082.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf39.jpg
Անսրբութիւն			s.	uncleanness, impurity; uncleanness, impurity.	dict-082.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf39.jpg
Անսրտմտութիւն			s.	good-humour, mild[ness]; good-humour, mildness.	dict-082.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf39.jpg
Անսփոփ, Անսփոփելի			a.	inconsolable; inconsolable.	dict-082.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf39.jpg
Անվախճան			a.	endless, eternal; endless, eternal.	dict-082.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf39.jpg
Անվաճառ			a.	unsaleable; unsaleable.	dict-082.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf39.jpg
Անվայել, Անվայելուչ			a.	unbecoming, indecent, unsuitable, improper, unfit; dishonourable; -ս, ad. indecently, improperly; dishonourably.	dict-082.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf39.jpg
Անվայել, Անվայելուչ			a.	indecently, improperly; dishonourably; unbecoming, indecent, unsuitable, improper, unfit; dishonourable; -ս, ad. indecently, improperly; dishonourably.	dict-082.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf39.jpg
Անվայելչութիւն			s.	indecency, impropriety; deformity; deformity.	dict-082.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf39.jpg
Անվայրափակ			a.	unlimited, unbounded; incomprehensible; incomprehensible.	dict-082.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf39.jpg
Անվան, Անվանելի			a.	that cannot be repulsed or put to flight, invincible, impregnable; that cannot be repulsed or put to flight, invincible, impregnable.	dict-082.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf39.jpg
Անվաստակ			a.	indefatigable; idle, lazy; ad. without fatigue.	dict-082.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf39.jpg
Անվաստակ			a.	without fatigue; indefatigable; idle, lazy; ad. without fatigue.	dict-082.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf39.jpg
Անվար			a.	uncultivated; uncultivated.	dict-082.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf39.jpg
Անվարժ		ից	a.	inexperienced, rude, unpractised, unskilled, unexercised; inexperienced, rude, unpractised, unskilled, unexercised.	dict-082.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf39.jpg
Անվարժութիւն			s.	unskilfulness, inexperience; unskilfulness, inexperience.	dict-082.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf39.jpg
Անվարկ			a.	unforeseen, unexpected; vile, without esteem; vile, without esteem.	dict-082.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf39.jpg
Անվարձ			a.	without salary, unpaid; without merit or recompense; without merit or recompense.	dict-082.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf39.jpg
Անվաւեր, Անվաւերական			a.	invalid, null, illegal, insufficient; apocryphal	dict-082.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf39.jpg
Անսպառութի	Անսպառութիւն		s.	inexhaustible state.	dict-082.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf39.jpg
Անստերիւր			a.	infallible, sure, unerring, without mistake.	dict-082.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf39.jpg
Անվաւերաբար			ad.	illegally; insufficiently.; illegally, insufficiently.	dict-083.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf39.jpg
Անվաւերութիւն			s.	invalidity; nullity; illegality.; invalidity, nullity, illegality.	dict-083.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf39.jpg
Անվեհեր			a.	intrepid; fearless; courageous; bold; intrepidly; fearlessly; boldly.; intrepid, fearless, courageous, bold; intrepidly, fearlessly, boldly.	dict-083.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf39.jpg
Անվեհերութիւն			s.	intrepidity.	dict-083.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf39.jpg
Անվերակացու			a.	without inspector; without superintendent; without pretext.; without inspector, superintendent.	dict-083.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf39.jpg
Անվերարկելի			a.	inconcealable; inconcealable, without pretext.	dict-083.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf39.jpg
Անվերարկու			a.	without cloak or mantle.	dict-083.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf39.jpg
Անվերծանելի			a.	illegible.	dict-083.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf39.jpg
Անվերնագիր			a.	without title or inscription.	dict-083.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf39.jpg
Անվէր			a.	unwounded; invulnerable.; unwounded, invulnerable.	dict-083.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf39.jpg
Անվթար			a.	exact; precise; perfect; exactly; precisely.; exact, precise, perfect; exactly, precisely.	dict-083.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf39.jpg
Անվթարութիւն			s.	exactness.	dict-083.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf39.jpg
Անվիճելի			a.	indisputable.	dict-083.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf39.jpg
Անվիշտ			a.	without pain; that has nothing to suffer.; without pain, that has nothing to suffer.	dict-083.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf39.jpg
Անվիրաւոր			a.	invulnerable.	dict-083.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf39.jpg
Անվկայ			a.	unwitnessed.	dict-083.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf39.jpg
Անվկանդ			a.	firm; determined; steady; resolute; invincible; inexpugnable.; firm, determined, steady, resolute, invincible, inexpugnable.	dict-083.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf39.jpg
Անվճար			a.	invaluable; unpaid; infinite; endless.; infinite, endless.	dict-083.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf39.jpg
Անվնաս			a.	harmless; innocent; innoxious; unhurt; undamaged; safe and sound; harmly.; harmless, innocent, innoxious; unhurt, undamaged, safe and sound	dict-083.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf39.jpg
Անվնասելի			a.	not liable to injury.	dict-083.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf39.jpg
Անվստահ			a.	distrustful; suspicious; distrustful, suspicious	dict-083.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf39.jpg
Անվստահութիւն			s.	mistrust; diffidence.; mistrust, diffidence.	dict-083.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf39.jpg
Անվտանգ			a.	out of danger; safe; unhurt; free from harm.; out of danger, safe; unhurt, free from harm.	dict-083.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf39.jpg
Անվտիտ			a.	fat; plump.; fat, plump.	dict-083.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf39.jpg
Անվրդով			a.	untroubled; tranquil; peacefully; quietly.; untroubled, tranquil; peacefully, quietly.	dict-083.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf39.jpg
Անվրդովութիւն			s.	tranquillity; undisturbed state.; tranquillity, undisturbed state.	dict-083.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf39.jpg
Անվրէպ			a.	unfailing; punctual; exact; regular; correct; sure; certain; without fail; punctually; precisely; exactly; correctly.; unfailing, punctual, exact, regular, correct, sure, certain; without fail, punctually, precisely, exactly, correctly.	dict-083.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf39.jpg
Անտաղտկալի			a.	unwearied; not tedious; not wearisome.; not tedious, not wearisome.	dict-083.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf39.jpg
Անտանելի			a.	insupportable; intolerable; heavy; burdensome; incomprehensible; inconceivable.; insupportable, intolerable, heavy, burdensome; incomprehensible, inconceivable.	dict-083.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf39.jpg
Անտաշ		ից	a.	rough; unpolished; hard.; rough, unpolished	dict-083.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf39.jpg
Անտառ		ի, աց	s.	forest; wood; forest, wood	dict-083.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf39.jpg
Անտառաբոյծ			a.	brought up in a forest.	dict-083.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf39.jpg
Անտառախիտ			s. a.	thick; bushy; woody; strong; tough; strong, tough; woody.	dict-083.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf39.jpg
Անտառակ		ի	s.	grove; thicket.; grove, thicket.	dict-083.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf39.jpg
Անտառամոլ			a.	become a forest; overgrown with wood.; become a forest, overgrown with wood.	dict-083.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf39.jpg
Անտառային			a.	silvan.	dict-083.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf39.jpg
Անտառանամ		ացայ	vn.	to become a forest.	dict-083.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf39.jpg
Անտառասնունդ					dict-083.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf39.jpg
Անտարակոյս			a.	indubitable; certain; without doubt; without difficulty.; indubitable, certain; without doubt, difficulty.	dict-083.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf39.jpg
Անտարբեր			a.	indifferent.	dict-083.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf39.jpg
Անտարբերաբար			ad.	indifferently.	dict-083.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf39.jpg
Անտարբերութիւն			s.	indifference; neutrality.	dict-083.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf39.jpg
Անտարտամ			a.	resolute; determined.; resolute, determined.	dict-083.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf39.jpg
Անտարր			a.	immaterial; incorporeal.; immaterial, incorporeal.	dict-083.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf39.jpg
Անտեղագոյն			a.	more or very absurd; extravagant.; more or very absurd, extravagant.	dict-083.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf39.jpg
Անտեղեակ			a.	ignorant; unlearned; unskilful.; ignorant, unlearned, unskilful.	dict-083.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf39.jpg
Անտեղեկութիւն			s.	unskilfulness; ignorance.; unskilfulness, ignorance.	dict-083.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf39.jpg
Անտեղի			a.	not confined to one place; uncircumscribed; absurd; extravagant; unbecoming; unsuitable.; not confined to one place, uncircumscribed; absurd, extravagant; unbecoming, unsuitable.	dict-083.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf39.jpg
Անտեղիտալի			a.	hard; inflexible.; hard, inflexible.	dict-083.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf39.jpg
Անտեղութիւն			s.	absurdity; extravagance; incongruity; unsuitableness; unfitness; impropriety.; absurdity, extravagance, incongruity, unsuitableness, unfitness, impropriety.	dict-083.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf39.jpg
